iter	RMSE
0	14.72953644
1	14.39435127
2	14.05747757
3	13.72390961
4	13.41853869
5	13.11753274
6	12.80173519
7	12.51071844
8	12.20903214
9	11.91147539
10	11.66761663
11	11.43245396
12	11.19628279
13	10.95929086
14	10.73797732
15	10.52080568
16	10.31525496
17	10.10818834
18	9.91182431
19	9.711116762
20	9.509419684
21	9.33534217
22	9.165019031
23	8.995143598
24	8.851201134
25	8.694892356
26	8.542264147
27	8.401138123
28	8.257058123
29	8.139248963
30	8.023642299
31	7.902962682
32	7.784173031
33	7.693399512
34	7.585654578
35	7.500626917
36	7.401247533
37	7.31305595
38	7.236277485
39	7.152172274
40	7.0671757
41	6.993481972
42	6.932907936
43	6.869671442
44	6.803196854
45	6.753995038
46	6.685937343
47	6.622342015
48	6.558276146
49	6.505585455
50	6.44465677
51	6.38699506
52	6.335174575
53	6.290482392
54	6.247517597
55	6.205741377
56	6.161150333
57	6.11972543
58	6.077228545
59	6.039778553
60	6.000504138
61	5.960326146
62	5.927529092
63	5.904356083
64	5.869584906
65	5.844295875
66	5.818329533
67	5.796409662
68	5.774273228
69	5.750625779
70	5.726874715
71	5.704812986
72	5.679948425
73	5.652347943
74	5.630486445
75	5.611861032
76	5.592812803
77	5.572246958
78	5.554525601
79	5.533058085
80	5.510313126
81	5.494026264
82	5.473990264
83	5.460580759
84	5.443268145
85	5.427438162
86	5.411156139
87	5.395946165
88	5.385199134
89	5.371347945
90	5.360140583
91	5.347433798
92	5.336292925
93	5.325503075
94	5.309992854
95	5.296613556
96	5.288558741
97	5.276636657
98	5.259655436
99	5.250648872
100	5.241252092
101	5.229965601
102	5.218537908
103	5.206025317
104	5.196434275
105	5.186153308
106	5.177005458
107	5.167622889
108	5.15844382
109	5.152619621
110	5.144347783
111	5.136012993
112	5.129695515
113	5.122504699
114	5.11531385
115	5.108226537
116	5.103626496
117	5.096794143
118	5.090437614
119	5.082920776
120	5.076828817
121	5.071811315
122	5.063951889
123	5.056661035
124	5.054166635
125	5.047926397
126	5.044430258
127	5.036850528
128	5.030702142
129	5.023850689
130	5.016952406
131	5.011187046
132	5.004317907
133	4.999124725
134	4.993366261
135	4.988691779
136	4.983433208
137	4.981654965
138	4.976369106
139	4.973920519
140	4.969218579
141	4.963786443
142	4.959022678
143	4.955282494
144	4.952011761
145	4.947642972
146	4.94128222
147	4.938177436
148	4.936331765
149	4.933040978
150	4.926797035
151	4.922749383
152	4.917455345
153	4.912819561
154	4.907790644
155	4.902554279
156	4.896949456
157	4.892370309
158	4.889659222
159	4.884739868
160	4.881292138
161	4.876629165
162	4.871695757
163	4.868918262
164	4.865256366
165	4.862017042
166	4.856797334
167	4.85179409
168	4.845095481
169	4.84150379
170	4.836717884
171	4.833792221
172	4.829295448
173	4.826970078
174	4.824037247
175	4.81892309
176	4.814581997
177	4.810296108
178	4.808206337
179	4.806927094
180	4.803525949
181	4.798948995
182	4.79631032
183	4.793777633
184	4.790239184
185	4.787279644
186	4.78515947
187	4.781489594
188	4.77623027
189	4.773714204
190	4.771655292
191	4.768569252
192	4.766525614
193	4.764183242
194	4.761694753
195	4.759177764
196	4.753847509
197	4.74811441
198	4.744166152
199	4.74058633
200	4.735001036
201	4.733805351
202	4.728177578
203	4.726072671
204	4.724179339
205	4.718250856
206	4.715079951
207	4.712929223
208	4.707129585
209	4.701742082
210	4.698679626
211	4.693634665
212	4.691172304
213	4.689279626
214	4.685775527
215	4.684254764
216	4.68148965
217	4.677454244
218	4.675715602
219	4.672598692
220	4.670220477
221	4.666601776
222	4.663315261
223	4.659287053
224	4.656659065
225	4.654899623
226	4.653628693
227	4.648846228
228	4.644792416
229	4.641800639
230	4.637429834
231	4.636713187
232	4.63138632
233	4.630067256
234	4.628150338
235	4.623462498
236	4.620352635
237	4.615057722
238	4.611923476
239	4.610031543
240	4.606936833
241	4.603536244
242	4.599670416
243	4.59900103
244	4.598436275
245	4.59665775
246	4.594181206
247	4.590543089
248	4.587207128
249	4.581248581
250	4.577637876
251	4.570336677
252	4.568686251
253	4.563910537
254	4.559012215
255	4.556681763
256	4.553615223
257	4.5493753
258	4.546550246
259	4.543000739
260	4.538070208
261	4.532983524
262	4.532320283
263	4.529822973
264	4.526077933
265	4.521930752
266	4.520028948
267	4.516447455
268	4.514308673
269	4.51158815
270	4.509593837
271	4.505053645
272	4.500744795
273	4.497768599
274	4.494686606
275	4.492717336
276	4.487437308
277	4.482369733
278	4.479470577
279	4.476240377
280	4.473766655
281	4.473261476
282	4.471476752
283	4.465456607
284	4.459610947
285	4.454224237
286	4.450475888
287	4.447400749
288	4.445522648
289	4.444285186
290	4.442722894
291	4.441042681
292	4.435911912
293	4.434325625
294	4.433293294
295	4.430381954
296	4.425242784
297	4.423469001
298	4.418871003
299	4.417099878
300	4.414835296
301	4.412854908
302	4.411356878
303	4.407936607
304	4.404187927
305	4.402576192
306	4.402150166
307	4.401068298
308	4.395448213
309	4.391983657
310	4.386637972
311	4.383313491
312	4.382002981
313	4.381012813
314	4.380056211
315	4.379506505
316	4.378294249
317	4.375012306
318	4.374617177
319	4.373130649
320	4.372127507
321	4.366701179
322	4.364036247
323	4.362701251
324	4.361142743
325	4.35719177
326	4.353164866
327	4.349574984
328	4.349204011
329	4.345454757
330	4.341963427
331	4.33937893
332	4.337890673
333	4.332338233
334	4.330021603
335	4.323837965
336	4.319251688
337	4.31418564
338	4.312936408
339	4.308000111
340	4.305945875
341	4.301001358
342	4.300282086
343	4.297850209
344	4.296725969
345	4.293059375
346	4.290748038
347	4.288692477
348	4.284610193
349	4.279576453
350	4.278208983
351	4.272438822
352	4.271259178
353	4.268615935
354	4.265664673
355	4.262151994
356	4.260789313
357	4.256273798
358	4.255419583
359	4.253091647
360	4.251069826
361	4.249103389
362	4.246823184
363	4.243525344
364	4.240413847
365	4.23721342
366	4.236277719
367	4.23144097
368	4.227979251
369	4.225497321
370	4.22415181
371	4.222103871
372	4.220917725
373	4.218431497
374	4.213558854
375	4.213269324
376	4.20917691
377	4.206276673
378	4.202007692
379	4.198277342
380	4.195140109
381	4.191699578
382	4.188580571
383	4.184321552
384	4.181053918
385	4.178627907
386	4.175188256
387	4.174031177
388	4.173179316
389	4.171594569
390	4.168132105
391	4.164893804
392	4.162536056
393	4.157160962
394	4.152450617
395	4.149781475
396	4.144317979
397	4.140449697
398	4.136902021
399	4.134272824
400	4.13242787
401	4.130376864
402	4.127209536
403	4.126111422
404	4.124062934
405	4.120984546
406	4.117991995
407	4.116960492
408	4.113943558
409	4.112599611
410	4.110331793
411	4.10631078
412	4.104994317
413	4.103339714
414	4.099810647
415	4.09642342
416	4.090827983
417	4.08966204
418	4.088546775
419	4.085012492
420	4.079721527
421	4.078683984
422	4.076543718
423	4.072132574
424	4.069252796
425	4.067960193
426	4.065071696
427	4.063513497
428	4.059672135
429	4.056818937
430	4.051437937
431	4.049290002
432	4.047529893
